No;Kode;Nama;Alamat;latitude;longitude
261;494299;RINA MBAK;PLOSOREJO - WILANGAN;-7.541384;111.842238
262;494314;BU SUMIATI;GEMENGGENG;-7.568812;111.876382
263;494614;MBAK RICA;BANARAN KULON;-7.556437;111.861425
264;494617;BU SUTINI;TAWANG BAGOR;-7.582357;111.877816
265;494619;MAS AGUNG;WILANGAN;-7.586325;111.795256
266;400987;TATIK;KEREP JL.;-7.574179;111.878985
267;401500;NINGSIH;GUYANGAN;-7.573367;111.879392
268;402881;USAHA JAYA UD.PAK IMAM;SRIKANDI 32 GUYANGAN BAGOR;-7.586661;111.878276
269;402882;WARSINI BU;KARTINI III 1 GUYANGAN BAGOR;-7.586106;111.878633
270;900162;BU ISMIANTO;SETREN RT 04 RW 01;-7.563581;111.892805
271;900173;DIAN;JL MELATI;-7.608861;111.933094
272;900197;BU JAINI;JL WILIS SUMENGKO;-7.618304;111.934922
273;900175;PAK AGUS;JL TEUKU UMAR;-7.60959;111.93112
274;494340;BAROKAH WARUNG PRASMANAN;Pasar Sukomoro dalam;-7.601707;111.944341
275;403653;SURATMIN;PENGKOL NGRAMI DS.;-7.584231;111.952536
